sa4_code,sa4_name,state,sa3_code,sa3_name,service_count,fee_per_hr,prc_growth_since_last_yr,number_of_services_above_cap,prc_services_above_the_cap,year
505,"Perth - North
West",WA,50501,Joondalup,47,11.47,5.26207907496199,7,14.8936170212766,2022
505,"Perth - North
West",WA,50502,Stirling,54,12.2,5.06972003605452,24,44.4444444444444,2022
505,"Perth - North
West",WA,50503,Wanneroo,69,10.97,6.150658193067,2,2.89855072463768,2022
506,"Perth - South
East",WA,50601,Armadale,25,10.32,4.99319363458283,2,8,2022
506,"Perth - South
East",WA,50602,"Belmont - Victoria
Park",17,11.21,5.41314552497197,0,0,2022
506,"Perth - South
East",WA,50603,Canning,25,11.48,6.72035554707529,2,8,2022
506,"Perth - South
East",WA,50604,Gosnells,38,11.16,5.5417896916768,2,5.26315789473684,2022
506,"Perth - South
East",WA,50605,Kalamunda,13,11.27,6.45845312854256,2,15.3846153846154,2022
506,"Perth - South
East",WA,50606,"Serpentine -
Jarrahdale",9,10.79,8.30290337174452,0,0,2022
506,"Perth - South
East",WA,50607,South Perth,18,12.28,5.54717971976222,9,50,2022
507,"Perth - South
West",WA,50701,Cockburn,35,11.62,5.53247409571778,6,17.1428571428571,2022
507,"Perth - South
West",WA,50702,Fremantle,15,11.51,4.40708683598695,2,13.3333333333333,2022
507,"Perth - South
West",WA,50703,Kwinana,13,11.17,8.73471686343152,1,7.69230769230769,2022
507,"Perth - South
West",WA,50704,Melville,28,12.59,4.23499324090308,17,60.7142857142857,2022
507,"Perth - South
West",WA,50705,Rockingham,40,10.49,6.61855353463817,0,0,2022
509,"Western
Australia -
Wheat Belt",WA,50901,Albany,17,9.96,4.72875522456854,0,0,2022
509,"Western
Australia -
Wheat Belt",WA,50902,"Wheat Belt -
North",18,11.61,2.87638334963574,7,38.8888888888889,2022
509,"Western
Australia -
Wheat Belt",WA,50903,"Wheat Belt -
South",11,11.18,3.8988546005301,3,27.2727272727273,2022
510,"Western
Australia -
Outback (North)",WA,51001,Kimberley,12,11.31,6.01939655017058,5,41.6666666666667,2022
510,"Western
Australia -
Outback (North)",WA,51002,East Pilbara,7,12.05,4.38640138828032,3,42.8571428571429,2022
510,"Western
Australia -
Outback (North)",WA,51003,West Pilbara,13,12.58,4.38229952509613,8,61.5384615384616,2022
511,"Western
Australia -
Outback (South)",WA,51101,Esperance,<5,NA,0,0,0,2022
511,"Western
Australia -
Outback (South)",WA,51102,Gascoyne,<5,NA,0,0,0,2022
511,"Western
Australia -
Outback (South)",WA,51103,Goldfields,10,11.72,7.08327326406585,3,30,2022
