sa2_code_2021,Private 4 profit%,Fee per hr,Fee growth%,% fee above cap,Low quality%,On track%,Prenatal visits%,Low b/weight%,Age4 enr%,Reg/remote%,Indig%,SEIFA %,cluster
401031013,50,11.51,3.23227877684735,28.5714285714286,0,71.8,96.7,5.9,94.85714285714286,0,0,0.87,1
401041014,0,11.47,2.67069433143475,16.6666666666667,0,61.9,97.5,8.6,79.82456140350878,0,1.7857142857142856,0.7,3
401041015,38.46,11.47,2.67069433143475,16.6666666666667,0,59.7,97.5,8.6,82.62711864406779,0,1.3868613138686132,0.4,3
401041016,28.57,11.47,2.67069433143475,16.6666666666667,14.285714285714285,56.99999999999999,97.5,8.6,93.04347826086956,0,0.8247422680412372,0.58,3
401051017,33.33,12,4.69429533477808,25,0,56.00000000000001,95.1,7.2,96.1038961038961,0,0,0.72,3
401051018,16.67,12,4.69429533477808,25,0,54,95.1,7.2,86.76470588235294,0,0.3886010362694301,0.54,3
401051019,60,12,4.69429533477808,25,0,60,95.1,7.2,77.77777777777779,0,0.4155124653739613,0.81,3
401061020,75,11.97,1.84198945534222,20,25,60.7,93.1,9.5,88.09523809523809,0,1.1312217194570136,0.74,3
401061021,30,11.97,1.84198945534222,20,0,56.600000000000016,93.1,9.5,96.53179190751445,0,2.034587995930824,0.72,3
401061022,25,11.97,1.84198945534222,20,0,75,93.1,9.5,93.05555555555556,0,0.7334963325183375,0.87,1
401071023,30,11.77,1.71125879254814,27.7777777777778,0,69.2,95.6,6,83.33333333333334,0,0.7099391480730223,0.83,1
401071024,50,11.77,1.71125879254814,27.7777777777778,7.142857142857142,60.7,95.6,6,89.28571428571429,0,0.6445672191528545,0.85,1
402011025,50,11.47,5.80579198373549,16.6666666666667,0,48.20000000000001,99.2,4.2,84.94623655913979,100,4.713804713804714,0.5,3
402011026,36.36,11.47,5.80579198373549,16.6666666666667,0,50,99.2,4.2,83.2089552238806,0,5.966930265995686,0.25,3
402011027,33.33,11.47,5.80579198373549,16.6666666666667,0,45.2,99.2,4.2,78.26086956521739,100,7.535641547861507,0.34,3
402021028,42.86,11.02,10.0363840385435,3.57142857142857,14.285714285714285,48.60000000000001,96,7.6,84.09893992932862,0,6.689536878216123,0.25,3
402021029,28.57,11.02,10.0363840385435,3.57142857142857,0,44.1,96,7.6,89.78328173374614,0,10.251046025104603,0.02,3
402021030,28.57,11.02,10.0363840385435,3.57142857142857,28.57142857142857,27.700000000000003,96,7.6,72.36842105263158,0,8.37378640776699,0.01,3
402021031,25,11.02,10.0363840385435,3.57142857142857,50,41,96,7.6,89.20454545454545,0,7.388316151202749,0.04,3
402021032,58.33,11.02,10.0363840385435,3.57142857142857,25,55.60000000000001,96,7.6,88.77887788778878,0,6.640841173215274,0.24,3
402021033,0,11.02,10.0363840385435,3.57142857142857,0,71.4,96,7.6,100,100,0,0.75,3
402021034,0,11.02,10.0363840385435,3.57142857142857,0,33.9,96,7.6,85.22167487684729,0,10.58467741935484,0.01,3
402021035,50,11.02,10.0363840385435,3.57142857142857,50,38.2,96,7.6,109.6774193548387,0,5.304518664047151,0.21,3
402051049,71.43,10.88,5.83842746938984,4.34782608695652,14.285714285714285,61.1,98.6,6.8,90.47619047619048,0,1.76678445229682,0.66,3
402051050,50,10.88,5.83842746938984,4.34782608695652,50,58.9,98.6,6.8,86.73469387755102,0,3.6764705882352944,0.59,3
402051051,0,10.88,5.83842746938984,4.34782608695652,0,62.4,98.6,6.8,92,0,1.875901875901876,0.7,3
402051052,45.45,10.88,5.83842746938984,4.34782608695652,18.181818181818183,55.8,98.6,6.8,97.53086419753086,0,3.383793410507569,0.33,3
402051053,16.67,10.88,5.83842746938984,4.34782608695652,16.666666666666664,49.5,98.6,6.8,90.2439024390244,0,3.292181069958848,0.53,3
402051054,12.5,10.88,5.83842746938984,4.34782608695652,12.5,63.1,98.6,6.8,87.42857142857143,0,2.2522522522522523,0.56,3
402051055,42.86,10.88,5.83842746938984,4.34782608695652,0,63.5,98.6,6.8,96.2406015037594,0,3.0376670716889427,0.49,3
403021058,25,11.06,4.35663815315867,8.33333333333333,0,55.89999999999999,96.6,7.5,89.1025641025641,0,2.792140641158221,0.39,3
403021059,42.86,11.06,4.35663815315867,8.33333333333333,0,61.4,96.6,7.5,93.23308270676691,0,2.1136063408190227,0.66,3
403021060,66.67,11.06,4.35663815315867,8.33333333333333,0,75,96.6,7.5,91.11111111111111,0,0.9448818897637796,0.68,3
