sa2_code_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,state_name_2016,areasqkm_2016,cent_long,cent_lat,service_approval_number,service_name,mgmt_type,suburb,postcode,state,seifa,aria,nqs_max_total_places,service_sub_type,nqs_overall_rating,dataset,mgmt_type_adj
311031315,31315,Greenbank Military Camp,31103,Browns Plains,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,40.5687,152.97066960988988,-27.67143329602651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311031318,31318,Munruben - Park Ridge South,31103,Browns Plains,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,20.7728,153.03477822882655,-27.737894907964467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312021345,31345,Eungella Hinterland,31202,Mackay,312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland,2048.7748,148.45722082298195,-21.051312622908036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312021347,31347,Mackay Harbour,31202,Mackay,312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland,10.1718,149.2157877532004,-21.11711086924575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312031360,31360,Cape Conway,31203,Whitsunday,312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland,295.3659,148.78087023329977,-20.3955315534909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316051434,31434,Noosa Heads,31605,Noosa,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,13.0071,153.09279274690147,-26.398164135862476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318011463,31463,Dalrymple,31801,Charters Towers - Ayr - Ingham,318,Townsville,3RQLD,Rest of Qld,3,Queensland,68340.305,145.7879106929183,-20.148911703986926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318021478,31478,Hermit Park - Rosslea,31802,Townsville,318,Townsville,3RQLD,Rest of Qld,3,Queensland,3.8838,146.8032214860487,-19.28971406528962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318021489,31489,Townsville - South,31802,Townsville,318,Townsville,3RQLD,Rest of Qld,3,Queensland,2073.1701,146.8534808086062,-19.54125712565425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319021510,31510,North Burnett,31902,Burnett,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,289.5233,151.4506129807221,-24.65952302449054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319041516,31516,Booral - River Heads,31904,Hervey Bay,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,158.341,152.83819014432996,-25.366371751590364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319051525,31525,Maryborough Region - South,31905,Maryborough,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,3823.1904,152.47864195387166,-25.695384178515713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
