sa4_code,sa4_name,state,sa3_code,sa3_name,service_count,fee_per_hr,prc_growth_since_last_yr,number_of_services_above_cap,prc_services_above_the_cap,year
113,Riverina,NSW,11301,"Griffith -
Murrumbidgee
(West)",13,10.35,3.65886904743569,1,7.69230769230769,2021
113,Riverina,NSW,11302,"Tumut -
Tumbarumba",6,9.81,10.4229610083699,0,0,2021
113,Riverina,NSW,11303,Wagga Wagga,41,10.34,5.83893332641211,2,4.87804878048781,2021
114,"Southern
Highlands and
Shoalhaven",NSW,11401,Shoalhaven,45,10.14,5.85574177215965,2,4.44444444444445,2021
114,"Southern
Highlands and
Shoalhaven",NSW,11402,"Southern
Highlands",17,9.89,4.31196472536267,1,5.88235294117647,2021
115,"Sydney -
Baulkham Hills
and Hawkesbury",NSW,11501,Baulkham Hills,72,11.82,4.52987318380214,25,34.7222222222222,2021
115,"Sydney -
Baulkham Hills
and Hawkesbury",NSW,11502,"Dural - Wisemans
Ferry",19,11.34,5.35996770552611,2,10.5263157894737,2021
115,"Sydney -
Baulkham Hills
and Hawkesbury",NSW,11503,Hawkesbury,6,10.32,3.27854089921404,0,0,2021
115,"Sydney -
Baulkham Hills
and Hawkesbury",NSW,11504,"Rouse Hill -
McGraths Hill",27,11.38,6.06109841986571,3,11.1111111111111,2021
116,"Sydney -
Blacktown",NSW,11601,Blacktown,61,10.39,6.45514521006074,2,3.27868852459016,2021
116,"Sydney -
Blacktown",NSW,11602,Blacktown - North,47,11.3,6.18205808705561,7,14.8936170212766,2021
